intestinal anti‑inflammatory agents	are	drugs
intestinal anti‑inflammatory agents	treat	inflammatory bowel disease
intestinal anti‑inflammatory agents	include	mesalamine
intestinal anti‑inflammatory agents	include	sulfasalazine
intestinal anti‑inflammatory agents	include	balsalazide
intestinal anti‑inflammatory agents	include	olsalazine
intestinal anti‑inflammatory agents	include	5‑ASA
mesalamine	is a	5‑ASA
mesalamine	reduces	intestinal inflammation
mesalamine	improves	ulcerative colitis
mesalamine	improves	Crohn’s disease
mesalamine	has	low systemic absorption
mesalamine	causes	diarrhea
mesalamine	causes	abdominal pain
mesalamine	causes	headache
mesalamine	contraindicated in	renal impairment
mesalamine	contraindicated in	pregnancy
sulfasalazine	is a	prodrug
sulfasalazine	metabolized to	sulfapyridine
sulfasalazine	metabolized to	mesalamine
sulfasalazine	causes	sulfa allergy
sulfasalazine	causes	nausea
sulfasalazine	causes	rash
sulfasalazine	contraindicated in	sulfa allergy
balsalazide	is a	prodrug
balsalazide	releases	mesalamine
balsalazide	targets	terminal ileum
balsalazide	causes	mild nausea
balsalazide	causes	abdominal cramping
balsalazide	contraindicated in	severe constipation
olsalazine	is a	prodrug
olsalazine	releases	mesalamine
olsalazine	targets	colon
olsalazine	causes	mild diarrhea
olsalazine	causes	headache
olsalazine	contraindicated in	severe renal disease
intestinal anti‑inflammatory agents	reduce	relapse rate
intestinal anti‑inflammatory agents	reduce	hospitalization
intestinal anti‑inflammatory agents	reduce	surgery
intestinal anti‑inflammatory agents	improve	quality of life
intestinal anti‑inflammatory agents	improve	mucosal healing
intestinal anti‑inflammatory agents	improve	endoscopic remission
intestinal anti‑inflammatory agents	improve	histologic remission
intestinal anti‑inflammatory agents	are	first‑line therapy
intestinal anti‑inflammatory agents	are	maintenance therapy
intestinal anti‑inflammatory agents	are	adjunct to steroids
intestinal anti‑inflammatory agents	are	adjunct to immunomodulators
intestinal anti‑inflammatory agents	are	adjunct to biologics
intestinal anti‑inflammatory agents	are	safe in pregnancy
intestinal anti‑inflammatory agents	are	safe in lactation
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with antiretrovirals
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with immunosuppressants
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with biologics
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with small molecules
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with vaccines
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with supplements
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with herbal remedies
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with over‑the‑counter medications
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with prescription medications
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with investigational drugs
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with experimental therapies
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with gene‑therapy products
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with cell‑therapy products
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with biologic‑derived products
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with synthetic biologics
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with monoclonal antibodies
intestinal anti‑inflammatory agents	are	associated with	low drug‑drug interactions with fusion proteins
