noninfectious gastroenteritis	causes	diarrhea
noninfectious gastroenteritis	association	lactose intolerance
noninfectious gastroenteritis	association	food allergy
noninfectious gastroenteritis	association	autoimmune colitis
noninfectious gastroenteritis	association	radiation enteritis
noninfectious gastroenteritis	association	chemotherapy
noninfectious gastroenteritis	laboratory marker	leukocyte count elevation
noninfectious gastroenteritis	laboratory marker	fecal leukocytes
noninfectious gastroenteritis	laboratory marker	fecal calprotectin elevation
noninfectious gastroenteritis	clinical feature	mucus in stool
noninfectious gastroenteritis	clinical feature	abdominal tenderness
noninfectious gastroenteritis	imaging	abdominal ultrasound
noninfectious gastroenteritis	imaging	CT scan
noninfectious gastroenteritis	therapy	hydration
noninfectious gastroenteritis	therapy	nutrition modification
noninfectious gastroenteritis	therapy	electrolyte correction
noninfectious gastroenteritis	outpatient care	recommended
noninfectious gastroenteritis	inpatient care	recommended
noninfectious gastroenteritis	outcome	resolution without sequelae
noninfectious gastroenteritis	outcome	temporary discomfort
noninfectious gastroenteritis	mechanism	mucosal inflammation
noninfectious gastroenteritis	mechanism	mucosal edema
noninfectious gastroenteritis	epidemiology	seasonal variation
noninfectious gastroenteritis	epidemiology	age distribution
noninfectious gastroenteritis	clinical course	variable
noninfectious gastroenteritis	clinical course	self-limited
noninfectious gastroenteritis	population	pediatric patients
noninfectious gastroenteritis	population	elderly patients
noninfectious gastroenteritis	association	lactose intolerance
